System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
All OS,Age,13-17,District,51.68,48.31,660,Nakhon Pathom,Phutthamonthon
All OS,Age,13-17,District,50,50,660,Sing Buri,Phrom Buri
All OS,Age,13-17,District,46.38,53.62,660,Chiang Mai,Saraphi
All OS,Age,13-17,District,36.36,63.64,660,Chai Nat,Wat Sing
Android,Age,13-17,District,0,76.09,660,Phatthalung,Srinagarindra
Android,Age,13-17,District,0,100,660,Nakhon Pathom,Phutthamonthon
Android,Age,13-17,District,0,76.74,660,Sing Buri,Phrom Buri
Android,Age,13-17,District,0,50,660,Chiang Mai,Saraphi
Android,Age,13-17,District,0,73.47,660,Chai Nat,Wat Sing
iOS,Age,13-17,District,0,0,660,Phatthalung,Srinagarindra
iOS,Age,13-17,District,40,60,660,Nakhon Pathom,Phutthamonthon
iOS,Age,13-17,District,50,50,660,Sing Buri,Phrom Buri
iOS,Age,13-17,District,39.29,60.71,660,Chiang Mai,Saraphi
iOS,Age,13-17,District,100,0,660,Chai Nat,Wat Sing
All OS,Age,13-17,District,21.54,78.46,670,Surat Thani,Ban Ta Khun
All OS,Age,13-17,District,63.8,36.21,670,Chiang Rai,Khun Tan
All OS,Age,13-17,District,32.31,67.69,670,Roi Et,Si Somdet
All OS,Age,13-17,District,55.17,44.83,670,Buri Ram,Ban Dan
All OS,Age,13-17,District,36,64,670,Mae Hong Son,Pang Mapha
Android,Age,13-17,District,0,100,670,Surat Thani,Ban Ta Khun
Android,Age,13-17,District,31.37,27.45,670,Chiang Rai,Khun Tan
Android,Age,13-17,District,0,50,670,Roi Et,Si Somdet
Android,Age,13-17,District,23.33,43.33,670,Buri Ram,Ban Dan
Android,Age,13-17,District,0,66.07,670,Mae Hong Son,Pang Mapha
iOS,Age,13-17,District,0,100,670,Surat Thani,Ban Ta Khun
iOS,Age,13-17,District,0,100,670,Chiang Rai,Khun Tan
iOS,Age,13-17,District,0,0,670,Roi Et,Si Somdet
iOS,Age,13-17,District,100,0,670,Buri Ram,Ban Dan
iOS,Age,13-17,District,100,0,670,Mae Hong Son,Pang Mapha
All OS,Age,13-17,District,55.93,44.07,680,Phayao,Mae Chai
All OS,Age,13-17,District,50.71,49.3,680,Lamphun,Ban Thi
Android,Age,13-17,District,0,45.76,680,Phayao,Mae Chai
Android,Age,13-17,District,100,0,680,Lamphun,Ban Thi
iOS,Age,13-17,District,0,0,680,Phayao,Mae Chai
iOS,Age,13-17,District,41.67,58.33,680,Lamphun,Ban Thi
All OS,Age,13-17,District,50,50,690,Sakon Nakhon,Nikhom Nam Un
All OS,Age,13-17,District,42.65,57.35,690,Yasothon,Sai Mun
All OS,Age,13-17,District,71.88,28.13,690,Bangkok,Phaya Thai
Android,Age,13-17,District,0,72.22,690,Sakon Nakhon,Nikhom Nam Un
Android,Age,13-17,District,0,55.56,690,Yasothon,Sai Mun
Android,Age,13-17,District,0,0,690,Bangkok,Phaya Thai
iOS,Age,13-17,District,0,100,690,Sakon Nakhon,Nikhom Nam Un
iOS,Age,13-17,District,0,100,690,Yasothon,Sai Mun
iOS,Age,13-17,District,65.71,34.29,690,Bangkok,Phaya Thai
All OS,Age,13-17,District,48.27,51.72,700,Khon Kaen,Phu Pha Man
